twitterID,text,retweet_count,favorite_count,created_at,location,source
id-less,RT @ESISpecialist: #cybersecurity Onapsis Recognized in Gartner 2017 Hype Cycle for Application Security https://t.co/dufefmZlnY #infosec,1,0,2017-08-03 12:20:48,Roaming,Twitter for Android
SERPs Boost 🔥,"RT @sengineland: #SearchCap: #Google home service ads, Google Image #SEO &amp; link building by @rustybrick https://t.co/19tsFlox5k",3,0,2017-08-03 12:19:20,,Twitter Web Client
Daniel A. Libby CFC,#cybersecurity Onapsis Recognized in Gartner 2017 Hype Cycle for Application Security https://t.co/dufefmZlnY #infosec,1,0,2017-08-03 12:19:09,"Los Angeles & San Diego, CA",dlvr.it
Digital Forensics,#cybersecurity Onapsis Recognized in Gartner 2017 Hype Cycle for Application Security https://t.co/GBOc2AfqAz #infosec,0,0,2017-08-03 12:19:07,"California, Arizona & Nevada",dlvr.it
GoldStockTrades,"RT @benchmarkmin: 18th lithium ion battery megafactory in pipeline,@benchmarkmin data&gt; Germany to Take on Tesla w Gigafactory Rival https:/…",24,0,2017-08-03 12:18:02,Miami,Twitter for iPhone
brucemills,Your Honeywell Lyric thermostat now talks to Google Home - CNET https://t.co/LSqxjiiJPh via Bruce Mills https://t.co/ilRR2stDqs,0,0,2017-08-03 12:17:08,Brisbane Queensland Australia,dlvr.it
Certapro Painters,5 awesome interior design apps for your home's #makeover goals https://t.co/mJPX6Mzk3v,0,0,2017-08-03 12:16:46,"Kansas City, MO",Hootsuite
John W. Furst,Laughing at current heat wave from top of my home… #vienna https://t.co/EodpWNUEEx https://t.co/nVyjpkHLUF,0,0,2017-08-03 12:16:45,"Valley Orotava, Tenerife, EU",Friends Me
NorthstarREC,"House Hunting - This well-appointed home sets on 5.4 acres. It is situated on serene Alligator Creek, with acce... https://t.co/ZnJVqQNAay",0,0,2017-08-03 12:16:45,"Charlotte, NC",Hootsuite
BTSdesirderata,"RT @BTS_Billboard: Buy/Gift @BTS_twt:

—""Come Back Home""
https://t.co/OjU3WGhe3V
https://t.co/yqadLsyWql

—YNWA
https://t.co/mhkimjJodM
htt…",56,0,2017-08-03 12:16:43,"Tennessee, USA",Twitter for Android
Quentin,@IFTTT Do you confirm that Google Assistant on Google Home (FR) doesn't work with IFTTT at all ? It only works if the device is in english ?,0,0,2017-08-03 12:16:02,Lyon,Twitter Web Client
Party Android,#android Honeywell thermostats now has Google Home support https://t.co/vG3aE14GG2,0,0,2017-08-03 12:15:58,,Hootsuite
Sydney Now,Google Home: passing novelty or long-term assistant? https://t.co/nPNJWyFa76,0,0,2017-08-03 12:14:06,"Sydney, New South Wales",Sydney Now
Cgadgetz,Honeywell thermostats now has Google Home support https://t.co/SJ6JxlJUWb,0,0,2017-08-03 12:13:16,Twitch.tv/cgadgetz IG:cgadgetz,IFTTT
His Ladyship,RT @smh: Google Home: passing novelty or long-term assistant? https://t.co/ZSqRjS5bCF,5,0,2017-08-03 12:13:09,Australia,Twitter for Android
